method,slot_budget,status,failure_reason
source_frozen_transfer,1,ok,
winner_replay,1,ok,
anchored_retune,1,ok,
native_safeguarded_retune,1,ok,
native_unconstrained_retune,1,ok,
phase3_oracle_upgrade,1,ok,
phase3_proposed,1,ok,
topk_expected_consequence,1,ok,
incumbent_queue_aware,1,ok,
static_threshold,1,ok,
source_frozen_transfer,2,ok,
winner_replay,2,ok,
anchored_retune,2,ok,
native_safeguarded_retune,2,ok,
native_unconstrained_retune,2,ok,
phase3_oracle_upgrade,2,ok,
phase3_proposed,2,ok,
topk_expected_consequence,2,ok,
incumbent_queue_aware,2,ok,
static_threshold,2,ok,
