variant,budget,recall,absolute_recall,cost,backend_fail,recall_per_cost,recall_per_backend_fail,successful_attack_mass_per_backend_fail,successful_attack_mass_per_clean_service,attack_service_precision,severity_precision,backend_success_rate_among_served,backend_success_rate_among_served_attack,clean_service_rate,marginal_recall_gain_vs_topk_per_extra_cost,marginal_recall_gain_vs_topk_per_extra_backend_fail,marginal_recall_gain_vs_winner_replay_per_extra_cost,marginal_recall_gain_vs_winner_replay_per_extra_backend_fail
anchored_retune,1,0.017468136474565223,0.016966852177849618,0.043281343361961586,10.375,0.40359506239164794,0.0016836758047773708,0.18493975903614454,15.349999999999998,0.9903846153846154,1.0,0.20192307692307693,0.20388349514563106,0.007042253521126761,0.17714975791171453,0.000649783247896071,0.19123169646282132,0.0006729627052891248
anchored_retune,2,0.05430278772042972,0.05277314307365458,0.18548747144419947,48.125,0.2927571727493505,0.0011283696149699681,0.1279220779220779,5.472222222222222,0.9801324503311258,1.0,0.15011037527593818,0.15315315315315314,0.06338028169014084,0.25073620545710035,0.001026126715086437,0.26553054740339954,0.0010336414876001765
incumbent_queue_aware,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20493249574201045,0.0007629931189002239,0.22396213265462245,0.0008076162963926953
incumbent_queue_aware,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26645056715496085,0.0010658076792549446,0.27658116081497963,0.0010723162797925093
native_safeguarded_retune,1,0.015513059292472722,0.015038071003544148,0.0370814754794072,7.375,0.41835064791549986,0.0021034656667759622,0.2330508474576271,1718750000000.0,1.0,1.0,0.24358974358974358,0.24358974358974358,0.0,0.1798637555023079,0.0006498487979779513,0.19438862416529856,0.0006720575856611124
native_safeguarded_retune,2,0.015609309098897692,0.015161685666800755,0.040386710187248,8.5,0.38649617724561014,0.0018363893057526696,0.20661764705882352,1756250000000.0,1.0,1.0,0.21839080459770116,0.21839080459770116,0.0,0.25580948056183334,0.0010090982089066272,0.2659260980063173,0.0010129368903464624
native_unconstrained_retune,1,0.0,0.0,0.00040251669716124313,0.625,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2051665958112697,0.0007680594742714073,0.2242836118722985,0.0008141504088230568
native_unconstrained_retune,2,0.08328306241820323,0.08090021208307653,0.18699038463249198,46.25,0.44538687153292117,0.001800714863096286,0.20635135135135138,38.175000000000004,0.9957446808510638,1.0,0.2127659574468085,0.21367521367521367,0.014084507042253521,0.15817207330665448,0.0006286442419216708,0.15968039780552012,0.0006019716448494074
phase3_oracle_upgrade,1,0.0,0.0,0.00040251669716124313,0.625,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2051665958112697,0.0007680594742714073,0.2242836118722985,0.0008141504088230568
phase3_oracle_upgrade,2,0.08328306241820323,0.08090021208307653,0.18699038463249198,46.25,0.44538687153292117,0.001800714863096286,0.20635135135135138,38.175000000000004,0.9957446808510638,1.0,0.2127659574468085,0.21367521367521367,0.014084507042253521,0.15817207330665448,0.0006286442419216708,0.15968039780552012,0.0006019716448494074
phase3_proposed,1,0.0008640167192446259,0.0008425350816655163,0.005041987964733818,1.5,0.17136429624346394,0.0005760111461630839,0.05416666666666667,0.65,0.9285714285714286,1.0,0.14285714285714285,0.15384615384615385,0.007042253521126761,0.20541923104520715,0.0007660008718128856,0.2249237660451945,0.0008121650063808382
phase3_proposed,2,0.0008640167192446259,0.0008425350816655163,0.010377926819673651,3.875,0.08325523336767914,0.00022297205657925828,0.020967741935483872,0.13,0.8484848484848485,1.0,0.06060606060606061,0.07142857142857142,0.035211267605633804,0.27036550021711214,0.0010929959251477087,0.2810733142111479,0.0011011865329938369
source_frozen_transfer,1,0.09165344704797697,0.08889414483404252,0.38810656132903876,102.75,0.2361553660265813,0.0008920043508318927,0.10018248175182481,0.7625,0.8858350951374208,1.0,0.13107822410147993,0.1467780429594272,0.7605633802816901,0.5478370294760352,0.0024199811290225946,0.26807099579627763,0.0011561940891013397
source_frozen_transfer,2,0.17722833468254345,0.17201041901169778,0.557481206663066,130.125,0.31790907489668585,0.0013619852809417365,0.15345821325648412,1.1410714285714283,0.8891528107680127,1.0,0.17577197149643706,0.19679430097951914,0.9859154929577465,0.7330700023798344,0.007358070604886584,0.5058870989966415,0.004149310465469505
static_threshold,1,0.010764236235036763,0.010518419489007723,0.03843056483607454,8.875,0.28009570717868915,0.0012128716884548464,0.1626760563380282,0.5021739130434784,0.7160493827160493,1.0,0.12345679012345678,0.1724137931034483,0.1619718309859155,0.19574311633118702,0.0007164991182621187,0.21506223124893203,0.00075549105574702
static_threshold,2,0.014926154239194609,0.01459744503862151,0.04135747032833319,8.875,0.36090588038139737,0.0016818201959655898,0.22605633802816902,0.6978260869565218,0.7294117647058823,1.0,0.16470588235294117,0.22580645161290322,0.1619718309859155,0.2578582975718142,0.001018319200768022,0.2681907639223306,0.0010226892407463066
topk_expected_consequence,1,0.07229359801579621,0.07024857944934672,0.35276786023631235,94.75,0.20493249574201045,0.0007629931189002239,0.08753298153034302,0.5622881355932204,0.8618266978922716,1.0,0.11241217798594848,0.13043478260869565,0.8309859154929577,nan,nan,0.13065741614465645,0.0005570654183238561
topk_expected_consequence,2,0.13216015222761313,0.128324392998306,0.4960025179858302,124.0,0.26645056715496085,0.0010658076792549446,0.12162298387096773,0.8617857142857143,0.8798283261802575,1.0,0.14849785407725322,0.1678048780487805,0.9859154929577465,nan,nan,0.14772825549787236,0.0009405503260524246
winner_replay,1,0.06289311908158114,0.06098840370579501,0.2808203259011209,77.875,0.22396213265462245,0.0008076162963926953,0.09077046548956662,0.8976190476190476,0.9117647058823529,1.0,0.12745098039215685,0.1382488479262673,0.44366197183098594,0.13065741614465645,0.0005570654183238561,nan,nan
winner_replay,2,0.12639928148054203,0.12263924410343846,0.45700611389471124,117.875,0.27658116081497963,0.0010723162797925093,0.12104984093319193,1.2407608695652173,0.9171917191719172,1.0,0.15121512151215122,0.16388616290480865,0.647887323943662,0.14772825549787236,0.0009405503260524246,nan,nan
