method,B,recall,backend_fail,cost,unnecessary,recover_fail,recall_per_backend_fail,recall_per_cost,successful_attack_mass_per_backend_fail,successful_attack_mass_per_clean_service
TRBG-native-burden,1,0.092755197720986,100.375,0.36585316870049067,8.375,6.625,0.0009240866522638705,0.253531213219916,0.10504358655043586,1.258955223880597
TRBG-native-burden,2,0.17073059215271946,125.0,0.5198327214550741,9.875,7.75,0.0013658447372217556,0.32843371551299055,0.15380000000000002,1.9468354430379748
TRBG-source,1,0.09283636545315584,93.0,0.34522298292093523,7.25,6.125,0.0009982404887436112,0.2689171058881028,0.11223118279569892,1.4396551724137931
TRBG-source,2,0.17037316892686705,120.375,0.512812829541936,10.0,7.625,0.0014153534282605777,0.3322326570477008,0.15913811007268952,1.915625
native_safeguarded_retune,1,0.015513059292472731,7.375,0.0370814754794072,0.0,0.625,0.0021034656667759635,0.4183506479155001,0.2330508474576271,1718750000000.0
native_safeguarded_retune,2,0.0156093090988977,8.5,0.040386710187248,0.0,0.75,0.0018363893057526707,0.38649617724561036,0.20661764705882352,1756250000000.0
native_unconstrained_retune,1,0.0,0.625,0.00040251669716124313,0.0,0.25,0.0,0.0,0.0,0.0
native_unconstrained_retune,2,0.08328306241820327,46.25,0.18699038463249198,0.25,2.75,0.0018007148630962868,0.4453868715329214,0.20635135135135133,38.175
source_frozen_transfer,1,0.09165344704797701,102.75,0.38810656132903876,13.5,6.125,0.000892004350831893,0.2361553660265814,0.10018248175182481,0.7625
source_frozen_transfer,2,0.17722833468254356,130.125,0.557481206663066,17.5,8.125,0.0013619852809417373,0.3179090748966861,0.15345821325648415,1.1410714285714285
topk_expected_consequence,1,0.07229359801579625,94.75,0.35276786023631235,14.75,5.875,0.0007629931189002243,0.20493249574201056,0.087532981530343,0.5622881355932203
topk_expected_consequence,2,0.13216015222761318,124.0,0.4960025179858302,17.5,7.625,0.001065807679254945,0.26645056715496096,0.12162298387096775,0.8617857142857144
winner_replay,1,0.06289311908158118,77.875,0.2808203259011209,7.875,4.625,0.0008076162963926958,0.2239621326546226,0.0907704654895666,0.8976190476190475
winner_replay,2,0.12639928148054208,117.875,0.45700611389471124,11.5,7.125,0.0010723162797925097,0.27658116081497974,0.12104984093319195,1.2407608695652175
