method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,fresh_bank,validation_scope
native_safeguarded_retune,,fresh_fullsolver_1bank,1,,,0.008729935229512813,0.008729935229512811,6,0.024976063307620415,0,0.03018867924528302,4.05,1.5499999999999998,0,0,8,0,0,0,0.0,10.0,17.80468389391899,1.685884273264378,13.487074186115024,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
native_unconstrained_retune,,fresh_fullsolver_1bank,1,,,0.0,0.0,1,0.010603601906775482,0,0.0037735849056603774,1.0499999999999998,0.0,0,0,1,0,0,0,0.0,0.0,8.547821044921875,5.72594502965876,5.72594502965876,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
source_frozen_transfer,,fresh_fullsolver_1bank,1,,,0.06533370881441847,0.06533370881441845,119,0.3561094168196717,9,0.5018867924528302,52.15,11.599999999999998,9,9,124,4,3,1,0.0,7.0,18.19138511499964,1.4458577825761105,192.2990850826227,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
topk_expected_consequence,,fresh_fullsolver_1bank,1,,,0.05378766544635314,0.05378766544635312,110,0.3361476085935052,9,0.45660377358490567,51.74999999999999,9.549999999999999,9,9,112,5,4,1,1.0,8.0,13.68759340885257,1.5001628813263868,181.5197086404928,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
winner_replay,,fresh_fullsolver_1bank,1,,,0.03886229231202478,0.03886229231202477,94,0.2990975576023714,8,0.3886792452830189,36.65,6.8999999999999995,8,8,95,4,3,1,0.0,8.0,15.747997499206692,1.5680842825755392,161.51268110528054,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
TRBG-source,TRBG-source,fresh_fullsolver_1bank,1,1.0,1.0,0.06448887637285272,0.0644888763728527,113,0.31171562904383215,5,0.47547169811320755,51.699999999999996,11.45,5,5,121,3,3,0,0.0,7.0,18.779145473525638,1.3359241244735665,168.32643968366938,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
native_safeguarded_retune,,fresh_fullsolver_1bank,2,,,0.008729935229512813,0.008729935229512811,6,0.024976063307620415,0,0.03018867924528302,4.05,1.5499999999999998,0,0,8,0,0,0,0.0,10.0,17.80468389391899,1.685884273264378,13.487074186115024,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
native_unconstrained_retune,,fresh_fullsolver_1bank,2,,,0.07068431427766825,0.07068431427766825,55,0.18686445786412673,0,0.25660377358490566,31.599999999999998,12.549999999999997,0,0,68,2,2,0,0.0,8.649999999999999,24.51292092659894,1.4839236359798298,100.90680724662843,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
source_frozen_transfer,,fresh_fullsolver_1bank,2,,,0.11799493100535059,0.11799493100535059,144,0.4818589759599372,9,0.6377358490566037,76.75,20.949999999999996,9,9,160,4,3,1,0.0,6.0,22.9495953822277,1.539667733836486,260.2038470183661,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
topk_expected_consequence,,fresh_fullsolver_1bank,2,,,0.10053506054632498,0.10053506054632497,141,0.44568962863963185,9,0.6113207547169811,73.25,17.849999999999998,9,9,153,4,3,1,0.0,7.0,18.17871634754134,1.4856320954654396,240.6723994654012,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
winner_replay,,fresh_fullsolver_1bank,2,,,0.10053506054632498,0.10053506054632497,136,0.4322039403076444,8,0.5924528301886792,67.95,17.849999999999998,8,8,149,4,3,1,0.0,6.0,18.77939523709048,1.4865613233511337,233.390127766128,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
TRBG-source,TRBG-source,fresh_fullsolver_1bank,2,1.0,1.0,0.11715009856378485,0.11715009856378485,139,0.43298282821314116,6,0.6150943396226415,75.39999999999999,20.799999999999997,6,6,157,3,3,0,0.0,6.0,23.81226293879784,1.434421639479118,233.81072723509624,False,False,fresh_fullsolver_540_seed20260711_off1500,one_bank_sanity_check
