method,calibration_mode,holdout_id,B,alpha,fail_cap_quantile,recall,scheduler_recall,backend_fail,cost,unnecessary,served_ratio,served_attack_mass,backend_success_attack_mass,clean_service,served_clean_count,served_attack_count,recover_fail,recover_fail_attack,recover_fail_clean,delay_p50,delay_p95,average_service_time,average_service_cost,total_service_cost,actual_backend_fail_used_in_decision,actual_recover_fail_used_in_decision,baseline_recall,recall_retention_vs_original_proposed,unnecessary_limit,cost_limit,selection_rule_passed_budget
TRFG-source-dev,source,case14_source_val,1,0.0,,0.6486486486486487,0.6486486486486476,4,10.883374320870479,2,0.4856115107913669,58.6,57.6,2,2,133,0,0,0,0.0,9.0,8.710575421651205,43.533497283481914,5877.0221332700585,False,False,0.6486486486486487,1.0,2.1,11.427543036914003,True
TRFG-source-dev,source,case14_source_val,1,0.05,,0.6486486486486487,0.6486486486486476,4,10.887942063200544,2,0.4856115107913669,58.6,57.6,2,2,133,0,0,0,0.0,9.0,8.731537382690995,43.55176825280218,5879.488714128294,False,False,0.6486486486486487,1.0,2.1,11.427543036914003,True
TRFG-source-dev,source,case14_source_val,1,0.1,,0.6486486486486487,0.6486486486486476,4,10.900009990004149,2,0.4856115107913669,58.6,57.6,2,2,133,0,0,0,0.0,9.0,8.712427722083198,43.600039960016595,5886.00539460224,False,False,0.6486486486486487,1.0,2.1,11.427543036914003,True
TRFG-source-dev,source,case14_source_val,1,0.25,,0.6441441441441441,0.644144144144143,4,10.80985915467966,2,0.48201438848920863,58.199999999999996,57.199999999999996,2,2,132,0,0,0,0.0,8.349999999999994,8.772908568382263,43.562118981544906,5837.323943527017,False,False,0.6486486486486487,0.9930555555555555,2.1,11.427543036914003,True
TRFG-source-dev,source,case14_source_val,1,0.5,,0.6306306306306306,0.6306306306306296,5,10.19713171577485,2,0.46402877697841727,57.4,56.0,2,2,127,0,0,0,0.0,9.0,8.934513681618743,42.685667647429604,5506.451126518419,False,False,0.6486486486486487,0.9722222222222222,2.1,11.427543036914003,False
TRFG-source-dev,source,case14_source_val,1,1.0,,0.5923423423423424,0.5923423423423415,2,8.62539644355641,2,0.39928057553956836,53.4,52.6,2,2,109,0,0,0,0.0,8.5,9.72587303213171,41.96138810378794,4657.714079520461,False,False,0.6486486486486487,0.9131944444444445,2.1,11.427543036914003,False
TRFG-source-dev,source,case14_source_val,1,2.0,,0.5540540540540541,0.5540540540540535,3,7.87577548787464,5,0.37050359712230213,50.0,49.199999999999996,5,5,98,0,0,0,0.0,8.0,9.983763826703562,41.29047343157578,4252.918763452306,False,False,0.6486486486486487,0.8541666666666666,2.1,11.427543036914003,False
TRFG-source-dev,source,case14_source_val,2,0.0,,0.8986486486486487,0.8986486486486485,8,13.843554132677797,5,0.6115107913669064,81.2,79.8,5,5,165,0,0,0,0.0,1.0,9.949723298409406,43.97364253909418,7475.519231646011,False,False,0.8986486486486487,1.0,5.25,14.535731839311687,True
TRFG-source-dev,source,case14_source_val,2,0.05,,0.891891891891892,0.8918918918918917,8,13.740923502922943,5,0.60431654676259,80.6,79.2,5,5,163,0,0,0,0.0,1.0,10.009609787237077,44.167254116538025,7420.098691578389,False,False,0.8986486486486487,0.9924812030075189,5.25,14.535731839311687,True
TRFG-source-dev,source,case14_source_val,2,0.1,,0.891891891891892,0.8918918918918917,8,13.740923502922943,5,0.60431654676259,80.6,79.2,5,5,163,0,0,0,0.0,1.0,10.009609787237077,44.167254116538025,7420.098691578389,False,False,0.8986486486486487,0.9924812030075189,5.25,14.535731839311687,True
TRFG-source-dev,source,case14_source_val,2,0.25,,0.891891891891892,0.8918918918918917,7,13.651139075066382,4,0.6007194244604317,80.6,79.2,4,4,163,0,0,0,0.0,1.0,10.066111454706705,44.1414077876398,7371.615100535846,False,False,0.8986486486486487,0.9924812030075189,5.25,14.535731839311687,True
TRFG-source-dev,source,case14_source_val,2,0.5,,0.891891891891892,0.8918918918918917,6,13.478274239353182,3,0.5971223021582733,80.6,79.2,3,3,163,0,0,0,0.0,1.0,10.123351368559412,43.84498848946215,7278.268089250718,False,False,0.8986486486486487,0.9924812030075189,5.25,14.535731839311687,True
TRFG-source-dev,source,case14_source_val,2,1.0,,0.849099099099099,0.8490990990990988,5,11.740053930369717,4,0.539568345323741,76.6,75.39999999999999,4,4,146,0,0,0,0.0,3.0,10.753232440948487,42.264194149330976,6339.629122399647,False,False,0.8986486486486487,0.944862155388471,5.25,14.535731839311687,False
TRFG-source-dev,source,case14_source_val,2,2.0,,0.8085585585585585,0.8085585585585581,4,12.067373226263108,27,0.5755395683453237,72.8,71.8,27,27,133,0,0,0,0.0,6.049999999999983,10.106192870438099,40.727384638637986,6516.381542182078,False,False,0.8986486486486487,0.8997493734335839,5.25,14.535731839311687,False
